[Gene ID],[source_id],[Genomic Location (Gene)],[Product Description],[NN Summary Score],[NN D-Score],[HMM Signal Probability],[Met Search Criteria]
PF3D7_0105400,PF3D7_0105400.2,"Pf3D7_01_v3:226,681..227,285(-)","conserved Plasmodium protein, unknown function",4,0.9,1,Y
PF3D7_0106600,PF3D7_0106600.1,"Pf3D7_01_v3:279,115..280,014(+)","conserved Plasmodium protein, unknown function",4,0.63,0.23,Y
PF3D7_0106900,PF3D7_0106900.1,"Pf3D7_01_v3:290,386..292,590(+)","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative",3,0.57,0.03,Y
PF3D7_0107300,PF3D7_0107300.1,"Pf3D7_01_v3:299,562..300,868(-)","conserved Plasmodium protein, unknown function",4,0.72,0.86,Y
PF3D7_0107700,PF3D7_0107700.1,"Pf3D7_01_v3:320,168..321,508(+)","OST3/OST6 domain-containing protein, putative",4,0.76,0.33,Y
PF3D7_0107900,PF3D7_0107900.1,"Pf3D7_01_v3:326,397..327,224(-)","conserved Plasmodium protein, unknown function",4,0.94,1,Y
PF3D7_0108700,PF3D7_0108700.1,"Pf3D7_01_v3:352,314..356,211(-)","secreted ookinete protein, putative",4,0.87,0.98,Y
PF3D7_0109100,PF3D7_0109100.1,"Pf3D7_01_v3:365,610..368,795(+)",LCCL domain-containing protein,2,0.55,0.18,Y
PF3D7_0109850,PF3D7_0109850.1,"Pf3D7_01_v3:383,284..386,632(+)","phosphatidate cytidylyltransferase, putative",3,0.6,0.02,Y
PF3D7_0110000,PF3D7_0110000.1,"Pf3D7_01_v3:388,372..389,076(+)","conserved Plasmodium protein, unknown function",4,0.74,0.31,Y
PF3D7_0111500,PF3D7_0111500.1,"Pf3D7_01_v3:439,652..441,418(-)","UMP-CMP kinase, putative",2,0.55,0.17,Y
PF3D7_0112000,PF3D7_0112000.1,"Pf3D7_01_v3:450,831..453,118(-)",TatD-like deoxyribonuclease,4,0.53,0.02,Y
PF3D7_0112100,PF3D7_0112100.1,"Pf3D7_01_v3:454,847..455,338(+)","conserved Plasmodium protein, unknown function",4,0.88,0.73,Y
PF3D7_0112800,PF3D7_0112800.1,"Pf3D7_01_v3:481,809..482,618(-)","Plasmodium exported protein (hyp11), unknown function",3,0.65,0.03,Y
PF3D7_0112900,PF3D7_0112900.1,"Pf3D7_01_v3:486,500..487,186(+)","Plasmodium exported protein, unknown function",3,0.62,0.34,Y
PF3D7_0113000,PF3D7_0113000.1,"Pf3D7_01_v3:487,892..490,127(-)",glutamic acid-rich protein,3,0.65,0.81,Y
PF3D7_0113300,PF3D7_0113300.1,"Pf3D7_01_v3:504,938..506,874(-)","Plasmodium exported protein (hyp1), unknown function",3,0.5,0,Y
PF3D7_0113700,PF3D7_0113700.1,"Pf3D7_01_v3:520,807..522,579(+)","heat shock protein 40, type II",3,0.61,0.41,Y
PF3D7_0113900,PF3D7_0113900.1,"Pf3D7_01_v3:537,109..538,025(-)",CX3CL1-binding protein 1,2,0.56,0.51,Y
PF3D7_0114100,PF3D7_0114100.1,"Pf3D7_01_v3:547,597..548,380(-)",Pfmc-2TM Maurer's cleft two transmembrane protein,2,0.58,0.02,Y
PF3D7_0114200,PF3D7_0114200.1,"Pf3D7_01_v3:550,576..551,713(-)",exported protein family 3,3,0.65,0.28,Y
PF3D7_0114300,PF3D7_0114300.1,"Pf3D7_01_v3:552,640..553,797(+)","exported protein family 4, pseudogene",3,0.56,0.05,Y
PF3D7_0114500,PF3D7_0114500.1,"Pf3D7_01_v3:558,201..558,708(-)","Plasmodium exported protein (hyp10), unknown function",3,0.68,0.18,Y
PF3D7_0114600,PF3D7_0114600.1,"Pf3D7_01_v3:560,474..561,534(-)","stevor, pseudogene",3,0.65,0.27,Y
PF3D7_0114700,PF3D7_0114700.1,"Pf3D7_01_v3:563,703..564,842(-)",rifin,4,0.71,0.96,Y
PF3D7_0114800,PF3D7_0114800.1,"Pf3D7_01_v3:569,485..570,272(-)","Plasmodium exported protein (hyp7), unknown function",4,0.61,0.01,Y
PF3D7_0114900,PF3D7_0114900.1,"Pf3D7_01_v3:572,135..572,853(-)","Plasmodium exported protein, unknown function, pseudogene",2,0.54,0.07,Y
PF3D7_0115100,PF3D7_0115100.1,"Pf3D7_01_v3:587,391..588,394(+)","Plasmodium exported protein (PHISTa), unknown function",4,0.58,0,Y
PF3D7_0115300,PF3D7_0115300.1,"Pf3D7_01_v3:595,102..596,273(+)",rifin,4,0.8,0.45,Y
PF3D7_0115400,PF3D7_0115400.1,"Pf3D7_01_v3:598,465..599,472(+)",stevor,3,0.69,0.32,Y
PF3D7_0200200,PF3D7_0200200.1,"Pf3D7_02_v3:33,030..34,259(-)",rifin,4,0.68,0.7,Y
PF3D7_0200400,PF3D7_0200400.1,"Pf3D7_02_v3:38,287..39,303(-)",stevor,4,0.9,0.94,Y
PF3D7_0200600,PF3D7_0200600.1,"Pf3D7_02_v3:45,286..46,558(-)",rifin,4,0.84,0.99,Y
PF3D7_0201000,PF3D7_0201000.1,"Pf3D7_02_v3:57,344..58,421(-)",rifin,4,0.7,0.21,Y
PF3D7_0201200,PF3D7_0201200.1,"Pf3D7_02_v3:63,157..64,376(+)",rifin,4,0.68,0.54,Y
PF3D7_0201300,PF3D7_0201300.1,"Pf3D7_02_v3:66,529..67,545(+)",stevor,3,0.69,0.75,Y
PF3D7_0201400,PF3D7_0201400.1,"Pf3D7_02_v3:69,088..69,771(+)","Plasmodium exported protein (hyp10), unknown function",4,0.62,0.16,Y
PF3D7_0201500,PF3D7_0201500.1,"Pf3D7_02_v3:73,441..74,396(-)","Plasmodium exported protein (hyp9), unknown function",2,0.53,0.11,Y
PF3D7_0201800,PF3D7_0201800.1,"Pf3D7_02_v3:86,832..88,791(-)",knob associated heat shock protein 40,3,0.56,0.4,Y
PF3D7_0201900,PF3D7_0201900.1,"Pf3D7_02_v3:91,318..98,838(-)",erythrocyte membrane protein 3,3,0.55,0.08,Y
PF3D7_0202000,PF3D7_0202000.1,"Pf3D7_02_v3:103,385..105,796(-)",knob-associated histidine-rich protein,3,0.52,0.91,Y
PF3D7_0202500,PF3D7_0202500.1,"Pf3D7_02_v3:127,994..128,314(+)",early transcribed membrane protein 2,3,0.62,0.97,Y
PF3D7_0203900,PF3D7_0203900.1,"Pf3D7_02_v3:176,567..178,300(+)","5'-3' exonuclease, N-terminal resolvase-like domain, putative",3,0.49,0.03,Y
PF3D7_0204100,PF3D7_0204100.1,"Pf3D7_02_v3:182,228..189,115(-)","conserved Plasmodium protein, unknown function",4,0.67,0.36,Y
PF3D7_0204200,PF3D7_0204200.1,"Pf3D7_02_v3:192,818..194,199(+)","conserved Plasmodium protein, unknown function",4,0.83,0.34,Y
PF3D7_0204600,PF3D7_0204600.1,"Pf3D7_02_v3:200,482..204,048(-)","5'-3' exonuclease, putative",4,0.89,1,Y
PF3D7_0206100,PF3D7_0206100.1,"Pf3D7_02_v3:245,358..246,699(+)",cysteine desulfuration protein SufE,4,0.62,0.03,Y
PF3D7_0206900,PF3D7_0206900.1,"Pf3D7_02_v3:275,540..276,577(-)",merozoite surface protein 5,2,0.54,0.06,Y
PF3D7_0207400,PF3D7_0207400.1,"Pf3D7_02_v3:294,273..297,616(-)",serine repeat antigen 7,4,0.82,0.97,Y
PF3D7_0207500,PF3D7_0207500.1,"Pf3D7_02_v3:298,897..302,564(-)",serine repeat antigen 6,4,0.68,0.17,Y
PF3D7_0207600,PF3D7_0207600.1,"Pf3D7_02_v3:303,593..307,027(-)",serine repeat antigen 5,2,0.53,0.49,Y
PF3D7_0207700,PF3D7_0207700.1,"Pf3D7_02_v3:308,847..312,155(-)",serine repeat antigen 4,4,0.61,0.54,Y
PF3D7_0207800,PF3D7_0207800.1,"Pf3D7_02_v3:313,449..316,741(-)",serine repeat antigen 3,4,0.62,0.98,Y
PF3D7_0207900,PF3D7_0207900.1,"Pf3D7_02_v3:317,596..321,310(-)",serine repeat antigen 2,4,0.71,0.6,Y
PF3D7_0208000,PF3D7_0208000.1,"Pf3D7_02_v3:322,338..325,723(-)",serine repeat antigen 1,4,0.66,0.37,Y
PF3D7_0208500,PF3D7_0208500.1,"Pf3D7_02_v3:352,836..353,628(+)",acyl carrier protein,4,0.89,1,Y
PF3D7_0208800,PF3D7_0208800.1,"Pf3D7_02_v3:359,142..359,849(+)","conserved Plasmodium protein, unknown function",4,0.85,0.57,Y
PF3D7_0208900,PF3D7_0208900.1,"Pf3D7_02_v3:360,828..368,354(+)",6-cysteine protein,3,0.52,0,Y
PF3D7_0209000,PF3D7_0209000.1,"Pf3D7_02_v3:370,438..379,845(+)",6-cysteine protein,4,0.66,0.2,Y
PF3D7_0209300,PF3D7_0209300.1,"Pf3D7_02_v3:387,273..388,151(+)","2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",2,0.55,0.02,Y
PF3D7_0210300,PF3D7_0210300.1,"Pf3D7_02_v3:423,063..424,654(-)","monocarboxylate transporter, putative",4,0.54,0.42,Y
PF3D7_0210600,PF3D7_0210600.1,"Pf3D7_02_v3:432,041..434,086(-)","conserved Plasmodium protein, unknown function",3,0.52,0.46,Y
PF3D7_0210800,PF3D7_0210800.1,"Pf3D7_02_v3:437,755..439,002(-)","conserved Plasmodium protein, unknown function",4,0.85,0.66,Y
PF3D7_0211400,PF3D7_0211400.1,"Pf3D7_02_v3:459,072..461,518(-)",beta-ketoacyl-ACP synthase III,4,0.53,0.04,Y
PF3D7_0211600,PF3D7_0211600.1,"Pf3D7_02_v3:467,847..468,476(+)","UDP-N-acetylglucosamine transferase subunit ALG14, putative",3,0.67,0.52,Y
PF3D7_0211900,PF3D7_0211900.1,"Pf3D7_02_v3:477,432..479,091(-)","conserved Plasmodium protein, unknown function",3,0.55,0,Y
PF3D7_0212000,PF3D7_0212000.1,"Pf3D7_02_v3:480,100..481,432(+)","GDP-fructose:GMP antiporter, putative",4,0.73,0.54,Y
PF3D7_0212600,PF3D7_0212600.1,"Pf3D7_02_v3:522,931..523,999(+)",secreted protein with altered thrombospondin repeat domain,4,0.71,0.98,Y
PF3D7_0214900,PF3D7_0214900.1,"Pf3D7_02_v3:610,625..615,372(+)",rhoptry neck protein 6,3,0.62,0.96,Y
PF3D7_0215000,PF3D7_0215000.1,"Pf3D7_02_v3:616,772..619,429(-)",acyl-CoA synthetase,4,0.71,0.32,Y
PF3D7_0215300,PF3D7_0215300.1,"Pf3D7_02_v3:628,642..631,308(-)",acyl-CoA synthetase,3,0.64,0.71,Y
PF3D7_0215900,PF3D7_0215900.1,"Pf3D7_02_v3:654,918..656,840(-)","palmitoyltransferase DHHC11, putative",4,0.63,0.01,Y
PF3D7_0216600,PF3D7_0216600.1,"Pf3D7_02_v3:686,485..688,545(+)",MtN3-like protein,4,0.91,0.97,Y
PF3D7_0216800,PF3D7_0216800.1,"Pf3D7_02_v3:696,193..699,561(-)","TMEM121 domain-containing protein, putative",2,0.62,0.32,Y
PF3D7_0217000,PF3D7_0217000.1,"Pf3D7_02_v3:703,090..706,587(-)","conserved Plasmodium membrane protein, unknown function",3,0.63,0.56,Y
PF3D7_0218300,PF3D7_0218300.1,"Pf3D7_02_v3:747,566..749,365(-)","rRNA methyltransferase, putative",4,0.7,0.02,Y
PF3D7_0220200,PF3D7_0220200.1,"Pf3D7_02_v3:809,511..810,298(-)","Plasmodium exported protein, unknown function",4,0.79,0.03,Y
PF3D7_0220300,PF3D7_0220300.1,"Pf3D7_02_v3:813,827..814,654(-)","Plasmodium exported protein, unknown function",3,0.62,0.12,Y
PF3D7_0220400,PF3D7_0220400.1,"Pf3D7_02_v3:820,429..822,541(+)","DnaJ protein, putative, pseudogene",4,0.68,0.39,Y
PF3D7_0220500,PF3D7_0220500.1,"Pf3D7_02_v3:823,825..824,864(-)","Plasmodium exported protein (hyp2), unknown function",4,0.73,0.3,Y
PF3D7_0220800,PF3D7_0220800.1,"Pf3D7_02_v3:838,843..844,116(+)",cytoadherence linked asexual protein 2,4,0.83,0.76,Y
PF3D7_0221000,PF3D7_0221000.1,"Pf3D7_02_v3:848,092..849,119(+)","Plasmodium exported protein, unknown function",4,0.86,1,Y
PF3D7_0221200,PF3D7_0221200.1,"Pf3D7_02_v3:854,966..855,738(+)","Plasmodium exported protein (hyp15), unknown function",3,0.63,0.32,Y
PF3D7_0221400,PF3D7_0221400.1,"Pf3D7_02_v3:860,466..861,504(+)",stevor,2,0.62,0.02,Y
PF3D7_0221500,PF3D7_0221500.1,"Pf3D7_02_v3:863,079..863,842(-)","Pfmc-2TM Maurer's cleft two transmembrane protein, pseudogene",2,0.56,0.03,Y
PF3D7_0221700,PF3D7_0221700.1,"Pf3D7_02_v3:869,508..871,124(-)","Plasmodium exported protein, unknown function",4,0.42,0.64,Y
PF3D7_0222000,PF3D7_0222000.1,"Pf3D7_02_v3:876,984..877,832(+)",exported protein family 1,3,0.65,0.18,Y
PF3D7_0222100,PF3D7_0222100.1,"Pf3D7_02_v3:878,468..879,251(-)",Pfmc-2TM Maurer's cleft two transmembrane protein,2,0.58,0.02,Y
PF3D7_0222200,PF3D7_0222200.1,"Pf3D7_02_v3:881,469..882,267(-)",exported protein family 3,4,0.67,0.14,Y
PF3D7_0222400,PF3D7_0222400.1,"Pf3D7_02_v3:886,625..887,802(+)","rifin, pseudogene",4,0.74,0.48,Y
PF3D7_0222500,PF3D7_0222500.1,"Pf3D7_02_v3:889,660..890,745(+)",rifin,4,0.65,0.96,Y
PF3D7_0222700,PF3D7_0222700.1,"Pf3D7_02_v3:896,226..897,420(+)",rifin,4,0.66,0.84,Y
PF3D7_0222800,PF3D7_0222800.1,"Pf3D7_02_v3:899,430..900,445(+)",stevor,3,0.68,0.69,Y
PF3D7_0223200,PF3D7_0223200.1,"Pf3D7_02_v3:907,678..908,861(+)",rifin,3,0.6,0.71,Y
PF3D7_0223300,PF3D7_0223300.1,"Pf3D7_02_v3:909,350..911,054(+)","erythrocyte membrane protein 1 (PfEMP1), exon 2",3,0.62,0.69,Y
PF3D7_0300400,PF3D7_0300400.1,"Pf3D7_03_v3:52,280..53,273(-)",stevor,3,0.63,0.43,Y
PF3D7_0300500,PF3D7_0300500.1,"Pf3D7_03_v3:55,390..56,584(-)",rifin,4,0.71,0.95,Y
PF3D7_0300700,PF3D7_0300700.1,"Pf3D7_03_v3:61,445..62,714(+)",rifin,4,0.78,0.94,Y
PF3D7_0300800,PF3D7_0300800.1,"Pf3D7_03_v3:64,572..65,783(+)",rifin,2,0.5,0.04,Y
PF3D7_0300900,PF3D7_0300900.1,"Pf3D7_03_v3:67,928..68,682(+)",stevor-like,3,0.71,0.67,Y
PF3D7_0301000,PF3D7_0301000.1,"Pf3D7_03_v3:69,460..71,919(-)",acyl-CoA synthetase,4,0.62,0.23,Y
PF3D7_0301300,PF3D7_0301300.1,"Pf3D7_03_v3:82,011..83,515(-)",epoxide hydrolase 1,3,0.53,0,Y
PF3D7_0301400,PF3D7_0301400.1,"Pf3D7_03_v3:85,305..86,131(-)","Plasmodium exported protein, unknown function",3,0.57,0.05,Y
PF3D7_0302200,PF3D7_0302200.1,"Pf3D7_03_v3:119,458..124,735(+)",cytoadherence linked asexual protein 3.2,4,0.89,0.96,Y
PF3D7_0302500,PF3D7_0302500.1,"Pf3D7_03_v3:135,418..140,660(+)",cytoadherence linked asexual protein 3.1,4,0.82,0.52,Y
PF3D7_0302600,PF3D7_0302600.1,"Pf3D7_03_v3:141,556..145,653(+)","ABC transporter B family member 4, putative",3,0.63,0.71,Y
PF3D7_0303900,PF3D7_0303900.1,"Pf3D7_03_v3:196,570..197,438(-)","phosphatidylethanolamine-binding protein, putative",4,0.78,0.8,Y
PF3D7_0304600,PF3D7_0304600.1,"Pf3D7_03_v3:221,323..222,516(-)",circumsporozoite (CS) protein,3,0.67,0.99,Y
PF3D7_0304700,PF3D7_0304700.1,"Pf3D7_03_v3:224,160..225,793(-)","conserved Plasmodium protein, unknown function",4,0.71,0.76,Y
PF3D7_0305000,PF3D7_0305000.1,"Pf3D7_03_v3:234,058..235,334(-)",elongation factor Ts,4,0.82,0.99,Y
PF3D7_0306700,PF3D7_0306700.1,"Pf3D7_03_v3:304,317..304,999(+)","membrane magnesium transporter, putative",4,0.79,0.86,Y
PF3D7_0307400,PF3D7_0307400.1,"Pf3D7_03_v3:321,050..322,162(-)",ATP-dependent Clp protease proteolytic subunit,4,0.67,0.47,Y
PF3D7_0307800,PF3D7_0307800.1,"Pf3D7_03_v3:337,179..339,278(+)","conserved Plasmodium protein, unknown function",4,0.66,0.09,Y
PF3D7_0309100,PF3D7_0309100.1,"Pf3D7_03_v3:387,219..388,473(-)","conserved Plasmodium protein, unknown function",4,0.75,0.02,Y
PF3D7_0310000,PF3D7_0310000.1,"Pf3D7_03_v3:420,697..421,515(+)","50S ribosomal protein L9, apicoplast, putative",4,0.86,0.98,Y
PF3D7_0310400,PF3D7_0310400.1,"Pf3D7_03_v3:447,500..451,384(+)",parasite-infected erythrocyte surface protein,4,0.85,0.99,Y
PF3D7_0310800,PF3D7_0310800.1,"Pf3D7_03_v3:464,662..464,991(+)","conserved Plasmodium protein, unknown function",2,0.57,0.01,Y
PF3D7_0311200,PF3D7_0311200.1,"Pf3D7_03_v3:474,788..479,086(+)","valine--tRNA ligase, putative",3,0.6,0.93,Y
PF3D7_0311600,PF3D7_0311600.1,"Pf3D7_03_v3:499,602..502,353(+)","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1, putative",4,0.78,0.3,Y
PF3D7_0311700,PF3D7_0311700.1,"Pf3D7_03_v3:502,698..505,848(+)",plasmepsin VI,4,0.75,0.88,Y
PF3D7_0313100,PF3D7_0313100.1,"Pf3D7_03_v3:539,743..542,810(+)","ubiquitin-protein ligase, putative",4,0.69,0.1,Y
PF3D7_0313300,PF3D7_0313300.1,"Pf3D7_03_v3:544,055..545,194(-)","YGGT family protein, putative",4,0.63,0.99,Y
PF3D7_0313700,PF3D7_0313700.1,"Pf3D7_03_v3:555,035..558,684(-)","conserved Plasmodium protein, unknown function, unspecified product",3,0.56,0.06,Y
PF3D7_0313700,PF3D7_0313700.2,"Pf3D7_03_v3:555,035..558,684(-)","conserved Plasmodium protein, unknown function, unspecified product",3,0.56,0.06,Y
PF3D7_0313800,PF3D7_0313800.1,"Pf3D7_03_v3:559,334..562,253(+)","conserved Plasmodium protein, unknown function",4,0.58,0.47,Y
PF3D7_0313900,PF3D7_0313900.1,"Pf3D7_03_v3:562,366..565,656(-)","conserved Plasmodium protein, unknown function",3,0.58,0.69,Y
PF3D7_0314000,PF3D7_0314000.1,"Pf3D7_03_v3:567,247..568,850(+)","HSP20-like chaperone, putative",4,0.87,1,Y
PF3D7_0314300,PF3D7_0314300.1,"Pf3D7_03_v3:577,008..578,366(-)",DER1-like protein,4,0.84,0.91,Y
PF3D7_0315200,PF3D7_0315200.1,"Pf3D7_03_v3:616,472..622,816(+)",circumsporozoite- and TRAP-related protein,4,0.75,1,Y
PF3D7_0315400,PF3D7_0315400.1,"Pf3D7_03_v3:630,611..631,381(-)","conserved Plasmodium protein, unknown function",3,0.61,0.1,Y
PF3D7_0315900,PF3D7_0315900.1,"Pf3D7_03_v3:644,186..645,268(+)","conserved Plasmodium protein, unknown function",3,0.62,0.72,Y
PF3D7_0316300,PF3D7_0316300.2,"Pf3D7_03_v3:658,272..661,643(+)","inorganic pyrophosphatase, inorganic pyrophosphatase, putative",4,0.78,0.94,Y
PF3D7_0316400,PF3D7_0316400.1,"Pf3D7_03_v3:662,126..665,152(-)","conserved Plasmodium protein, unknown function",4,0.66,0.67,Y
PF3D7_0317100,PF3D7_0317100.1,"Pf3D7_03_v3:686,282..689,482(+)",6-cysteine protein,4,0.83,0.98,Y
PF3D7_0318000,PF3D7_0318000.1,"Pf3D7_03_v3:742,191..742,799(+)","conserved Plasmodium protein, unknown function",4,0.77,0.86,Y
PF3D7_0318300,PF3D7_0318300.1,"Pf3D7_03_v3:756,491..760,292(-)","conserved Plasmodium protein, unknown function",3,0.58,0.01,Y
PF3D7_0318800,PF3D7_0318800.1,"Pf3D7_03_v3:789,858..791,308(+)","triosephosphate isomerase, putative",4,0.59,0.86,Y
PF3D7_0318900,PF3D7_0318900.1,"Pf3D7_03_v3:791,840..793,481(-)","conserved protein, unknown function",4,0.78,0.73,Y
PF3D7_0319200,PF3D7_0319200.1,"Pf3D7_03_v3:803,592..806,312(-)","endonuclease/exonuclease/phosphatase family protein, putative",2,0.54,0.26,Y
PF3D7_0320200,PF3D7_0320200.1,"Pf3D7_03_v3:842,539..844,290(+)",CPW-WPC family protein,4,0.81,0.98,Y
PF3D7_0320400,PF3D7_0320400.1,"Pf3D7_03_v3:848,247..857,504(-)","oocyst capsule protein Cap380, putative",4,0.75,0.71,Y
PF3D7_0321000,PF3D7_0321000.1,"Pf3D7_03_v3:877,735..879,511(+)","conserved Plasmodium protein, unknown function",4,0.71,0.12,Y
PF3D7_0323400,PF3D7_0323400.1,"Pf3D7_03_v3:980,706..983,966(-)",Rh5 interacting protein,4,0.93,1,Y
PF3D7_0324000,PF3D7_0324000.1,"Pf3D7_03_v3:1,005,952..1,006,800(+)",exported protein family 1,3,0.65,0.18,Y
PF3D7_0324100,PF3D7_0324100.1,"Pf3D7_03_v3:1,007,413..1,008,202(-)",Pfmc-2TM Maurer's cleft two transmembrane protein,3,0.59,0.02,Y
PF3D7_0324200,PF3D7_0324200.1,"Pf3D7_03_v3:1,010,342..1,011,140(-)",exported protein family 3,4,0.67,0.14,Y
PF3D7_0324300,PF3D7_0324300.1,"Pf3D7_03_v3:1,012,355..1,013,464(+)",exported protein family 4,4,0.69,0.01,Y
PF3D7_0324400,PF3D7_0324400.1,"Pf3D7_03_v3:1,015,795..1,016,942(+)",rifin,4,0.77,0.86,Y
PF3D7_0324500,PF3D7_0324500.1,"Pf3D7_03_v3:1,018,874..1,019,973(+)",rifin,4,0.75,0.57,Y
PF3D7_0324600,PF3D7_0324600.1,"Pf3D7_03_v3:1,021,998..1,023,008(+)",stevor,4,0.82,0.92,Y
PF3D7_0324800,PF3D7_0324800.1,"Pf3D7_03_v3:1,027,571..1,028,929(+)",rifin,4,0.69,0.44,Y
PF3D7_0400600,PF3D7_0400600.1,"Pf3D7_04_v3:61,411..61,489(+)","erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene",3,0.62,0.61,Y
PF3D7_0400800,PF3D7_0400800.1,"Pf3D7_04_v3:66,601..67,573(-)",stevor,2,0.58,0.04,Y
PF3D7_0401000,PF3D7_0401000.1,"Pf3D7_04_v3:73,268..74,340(-)",rifin,3,0.63,0.68,Y
PF3D7_0401400,PF3D7_0401400.1,"Pf3D7_04_v3:85,397..86,608(+)",rifin,3,0.57,0.14,Y
PF3D7_0401500,PF3D7_0401500.1,"Pf3D7_04_v3:89,153..90,184(+)","stevor, pseudogene",3,0.64,0.39,Y
PF3D7_0401600,PF3D7_0401600.1,"Pf3D7_04_v3:92,576..93,809(-)",rifin,4,0.82,0.99,Y
PF3D7_0401600,PF3D7_0401600.2,"Pf3D7_04_v3:92,576..93,809(-)",rifin,4,0.83,1,Y
PF3D7_0401700,PF3D7_0401700.1,"Pf3D7_04_v3:100,684..102,110(+)","Plasmodium exported protein, unknown function, pseudogene",3,0.66,0.73,Y
PF3D7_0401900,PF3D7_0401900.1,"Pf3D7_04_v3:108,380..111,295(-)",acyl-CoA synthetase,4,0.76,0.31,Y
PF3D7_0402100,PF3D7_0402100.1,"Pf3D7_04_v3:123,588..125,464(-)","Plasmodium exported protein (PHISTb), unknown function",3,0.5,0.01,Y
PF3D7_0402300,PF3D7_0402300.1,"Pf3D7_04_v3:137,640..146,653(+)",reticulocyte binding protein homologue 1,2,0.52,0.17,Y
PF3D7_0402500,PF3D7_0402500.1,"Pf3D7_04_v3:155,877..156,984(+)","rifin, pseudogene",3,0.67,0.96,Y
PF3D7_0402600,PF3D7_0402600.1,"Pf3D7_04_v3:159,279..160,314(-)",stevor,4,0.69,0.97,Y
PF3D7_0402700,PF3D7_0402700.1,"Pf3D7_04_v3:162,511..163,724(-)","rifin, pseudogene",4,0.67,0.57,Y
PF3D7_0402900,PF3D7_0402900.1,"Pf3D7_04_v3:172,506..172,914(-)","probable protein, unknown function",4,0.71,0.95,Y
PF3D7_0403300,PF3D7_0403300.1,"Pf3D7_04_v3:180,430..181,551(-)","conserved Plasmodium protein, unknown function",4,0.74,0.44,Y
