Gene_ID,Cas9_Status,Cas9_LHR,Cas9_gBlock,Cas9_RHR,Cas9_gRNA,Cas9_gBlock_size,Cpf1_Status,Cpf1_LHR,Cpf1_gBlock,Cpf1_RHR,Cpf1_gRNA,Cpf1_gBlock_size,Enzyme_recommended
PF3D7_0219400.2,Warning,Warning,Success,Success,Success,221,Success,Success,Success,Success,Success,169,Cpf1
PF3D7_0524800.1,Warning,Success,Success,Success,Warning,251,Success,Success,Success,Success,Success,137,Cpf1
PF3D7_0219400.1,Warning,Warning,Success,Success,Success,221,Success,Success,Success,Success,Success,169,Cpf1
PF3D7_0506200.1,Warning,Success,Success,Warning,Success,423,Warning,Success,Success,Warning,Success,435,Cas9
PF3D7_1026000.1,Warning,Success,Success,Success,Warning,147,Success,Success,Success,Success,Success,147,Cpf1
PF3D7_1364900.1,Success,Success,Success,Success,Success,396,Success,Success,Success,Success,Success,420,Cas9
PF3D7_1413400.1,Success,Success,Success,Success,Success,198,Success,Success,Success,Success,Success,333,Cas9
PF3D7_1453100.1,Warning,Success,Success,Success,Warning,395,Warning,Success,Success,Success,Warning,131,Cpf1
PF3D7_1125100.1,Success,Success,Success,Success,Success,133,Success,Success,Success,Success,Success,133,Either
PF3D7_0112800.1,Success,Success,Success,Success,Success,392,Success,Success,Success,Success,Success,176,Cpf1
PF3D7_0523300.1,Success,Success,Success,Success,Success,168,Success,Success,Success,Success,Success,244,Cas9
PF3D7_1102300.1,Warning,Success,Success,Success,Warning,490,Error,-,-,-,Error,0,Cas9
PF3D7_0209500.1,Success,Success,Success,Success,Success,338,Success,Success,Success,Success,Success,338,Either
PF3D7_0525900.1,Success,Success,Success,Success,Success,65,Warning,Success,Success,Success,Warning,65,Cas9
PF3D7_1373000.1,Success,Success,Success,Success,Success,181,Success,Success,Success,Success,Success,374,Cas9
PF3D7_0802400.1,Success,Success,Success,Success,Success,83,Success,Success,Success,Success,Success,51,Cpf1
PF3D7_0926700.1,Success,Success,Success,Success,Success,20,Success,Success,Success,Success,Success,372,Cas9
PF3D7_1344500.1,Warning,Success,Success,Success,Warning,194,Success,Success,Success,Success,Success,125,Cpf1
PF3D7_0925600.1,Warning,Warning,Success,Success,Success,253,Warning,Warning,Success,Success,Success,301,Cas9
PF3D7_1211000.1,Success,Success,Success,Success,Success,159,Success,Success,Success,Success,Success,159,Either
PF3D7_1200500.1,Warning,Success,Success,Warning,Success,335,Success,Success,Success,Success,Success,346,Cpf1
PF3D7_0613700.1,Warning,Success,Success,Warning,Success,276,Success,Success,Success,Success,Success,157,Cpf1
PF3D7_1401300.1,Success,Success,Success,Success,Success,344,Success,Success,Success,Success,Success,280,Cpf1
PF3D7_0720700.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,155,Cpf1
PF3D7_1028400.1,Success,Success,Success,Success,Success,239,Success,Success,Success,Success,Success,188,Cpf1
PF3D7_1308900.1,Success,Success,Success,Success,Success,480,Success,Success,Success,Success,Success,450,Cpf1
PF3D7_1040500.1,Success,Success,Success,Success,Success,127,Success,Success,Success,Success,Success,428,Cas9
PF3D7_1409400.1,Success,Success,Success,Success,Success,192,Success,Success,Success,Success,Success,246,Cas9
PF3D7_0316300.1,Success,Success,Success,Success,Success,137,Success,Success,Success,Success,Success,356,Cas9
PF3D7_0732000.1,Success,Success,Success,Success,Success,272,Success,Success,Success,Success,Success,322,Cas9
PF3D7_1441800.1,Warning,Success,Success,Success,Warning,233,Success,Success,Success,Success,Success,403,Cpf1
PF3D7_1003300.1,Success,Success,Success,Success,Success,372,Success,Success,Success,Success,Success,266,Cpf1
PF3D7_0210600.1,Success,Success,Success,Success,Success,253,Success,Success,Success,Success,Success,253,Either
PF3D7_1418400.1,Error,-,-,-,Error,0,Error,-,-,-,Error,0,None
PF3D7_0105200.1,Warning,Success,Success,Success,Warning,446,Success,Success,Success,Success,Success,247,Cpf1
PF3D7_0216400.1,Success,Success,Success,Success,Success,116,Success,Success,Success,Success,Success,153,Cas9
PF3D7_1368900.1,Success,Success,Success,Success,Success,226,Warning,Success,Success,Success,Warning,377,Cas9
PF3D7_1221600.1,Warning,Success,Success,Success,Warning,113,Success,Success,Success,Success,Success,329,Cpf1
PF3D7_1034700.1,Success,Success,Success,Success,Success,323,Success,Success,Success,Success,Success,336,Cas9
PF3D7_1319500.1,Warning,Success,Success,Success,Warning,113,Warning,Warning,Success,Success,Success,222,Cas9
PF3D7_1228300.1,Success,Success,Success,Success,Success,125,Success,Success,Success,Success,Success,125,Either
PF3D7_1215400.1,Success,Success,Success,Success,Success,145,Success,Success,Success,Success,Success,221,Cas9
PF3D7_1041100.1,Warning,Success,Success,Warning,Success,326,Warning,Success,Success,Warning,Success,326,Either
PF3D7_1301700.1,Success,Success,Success,Success,Success,175,Success,Success,Success,Success,Success,215,Cas9
PF3D7_0705500.1,Success,Success,Success,Success,Success,348,Success,Success,Success,Success,Success,356,Cas9
PF3D7_0517000.1,Success,Success,Success,Success,Success,125,Success,Success,Success,Success,Success,259,Cas9
PF3D7_1338900.1,Warning,Success,Success,Warning,Success,138,Warning,Success,Success,Warning,Success,263,Cas9
PF3D7_1037200.1,Error,-,-,-,Error,0,Warning,Success,Success,Success,Warning,383,Cpf1
PF3D7_1404900.1,Success,Success,Success,Success,Success,208,Success,Success,Success,Success,Success,145,Cpf1
PF3D7_1426300.1,Success,Success,Success,Success,Success,265,Success,Success,Success,Success,Success,176,Cpf1
PF3D7_0209400.1,Success,Success,Success,Success,Success,69,Success,Success,Success,Success,Success,0,Cpf1
PF3D7_0301700.1,Warning,Success,Success,Success,Warning,341,Warning,Success,Success,Success,Warning,315,Cpf1
PF3D7_1410700.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,127,Cpf1
PF3D7_0402100.1,Success,Success,Success,Success,Success,261,Success,Success,Success,Success,Success,122,Cpf1
PF3D7_0733000.1,Success,Success,Success,Success,Success,346,Success,Success,Success,Success,Success,410,Cas9
PF3D7_0107100.1,Warning,Success,Success,Success,Warning,113,Success,Success,Success,Success,Success,208,Cpf1
PF3D7_1446100.1,Warning,Success,Success,Success,Warning,115,Success,Success,Success,Success,Success,125,Cpf1
PF3D7_1242300.1,Success,Success,Success,Success,Success,177,Success,Success,Success,Success,Success,183,Cas9
PF3D7_1235800.1,Success,Success,Success,Success,Success,159,Warning,Success,Success,Success,Warning,246,Cas9
PF3D7_0201200.1,Success,Success,Success,Success,Success,388,Success,Success,Success,Success,Success,388,Either
PF3D7_1448700.1,Success,Success,Success,Success,Success,146,Success,Success,Success,Success,Success,210,Cas9
PF3D7_0732100.1,Warning,Success,Success,Success,Warning,359,Success,Success,Success,Success,Success,377,Cpf1
PF3D7_1309400.1,Success,Success,Success,Success,Success,175,Success,Success,Success,Success,Success,20,Cpf1
PF3D7_1144800.1,Warning,Success,Success,Warning,Warning,349,Error,-,-,-,Error,0,Cas9
PF3D7_0519700.1,Warning,Success,Success,Success,Warning,266,Success,Success,Success,Success,Success,290,Cpf1
PF3D7_0928800.1,Warning,Success,Success,Success,Warning,388,Success,Success,Success,Success,Success,170,Cpf1
PF3D7_0617200.1,Success,Success,Success,Success,Success,97,Success,Success,Success,Success,Success,254,Cas9
PF3D7_1020800.1,Success,Success,Success,Success,Success,131,Success,Success,Success,Success,Success,222,Cas9
PF3D7_0412300.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,380,Cpf1
PF3D7_1354900.1,Warning,Success,Success,Success,Warning,173,Success,Success,Success,Success,Success,365,Cpf1
PF3D7_1327400.1,Error,-,-,-,Error,0,Warning,Success,Success,Success,Warning,267,Cpf1
PF3D7_1148640.1,Error,-,-,-,Error,0,Warning,Success,Success,Success,Warning,122,Cpf1
PF3D7_0620800.1,Error,Warning,Success,Warning,Success,0,Warning,Warning,Success,Warning,Warning,0,Cas9
PF3D7_0525400.1,Success,Success,Success,Success,Success,268,Success,Success,Success,Success,Success,268,Either
PF3D7_0418900.1,Warning,Success,Success,Warning,Success,25,Success,Success,Success,Success,Success,41,Cpf1
PF3D7_1114700.1,Success,Success,Success,Success,Success,207,Success,Success,Success,Success,Success,182,Cpf1
PF3D7_1338500.1,Warning,Success,Success,Success,Warning,215,Warning,Success,Success,Success,Warning,226,Cas9
PF3D7_0814300.1,Warning,Success,Success,Success,Warning,200,Error,-,-,-,Error,0,Cas9
PF3D7_0728900.1,Success,Success,Success,Success,Success,14,Success,Success,Success,Success,Success,14,Either
PF3D7_1313200.1,Success,Success,Success,Success,Success,161,Success,Success,Success,Success,Success,161,Either
PF3D7_1338800.1,Warning,Warning,Success,Success,Success,75,Success,Success,Success,Success,Success,32,Cpf1
PF3D7_1318800.1,Success,Success,Success,Success,Success,311,Success,Success,Success,Success,Success,312,Cas9
PF3D7_1037900.1,Success,Success,Success,Success,Success,177,Success,Success,Success,Success,Success,150,Cpf1
PF3D7_1344900.1,Success,Success,Success,Success,Success,273,Success,Success,Success,Success,Success,110,Cpf1
PF3D7_0930800.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,87,Cpf1
PF3D7_1307100.1,Warning,Success,Success,Success,Warning,512,Warning,Success,Success,Success,Warning,175,Cpf1
PF3D7_0600500.1,Success,Success,Success,Success,Success,398,Success,Success,Success,Success,Success,358,Cpf1
PF3D7_1022200.1,Success,Success,Success,Success,Success,152,Success,Success,Success,Success,Success,135,Cpf1
PF3D7_0602800.1,Warning,Success,Success,Success,Warning,122,Success,Success,Success,Success,Success,122,Cpf1
PF3D7_1242200.1,Success,Success,Success,Success,Success,339,Success,Success,Success,Success,Success,351,Cas9
PF3D7_0703700.1,Warning,Success,Success,Warning,Success,614,Warning,Success,Success,Warning,Success,278,Cpf1
PF3D7_0935800.1,Success,Success,Success,Success,Success,253,Success,Success,Success,Success,Success,290,Cas9
PF3D7_1319800.1,Success,Success,Success,Success,Success,393,Success,Success,Success,Success,Success,400,Cas9
PF3D7_1326600.1,Success,Success,Success,Success,Success,310,Success,Success,Success,Success,Success,315,Cas9
PF3D7_1215100.1,Success,Success,Success,Success,Success,119,Success,Success,Success,Success,Success,19,Cpf1
PF3D7_1363100.1,Success,Success,Success,Success,Success,154,Success,Success,Success,Success,Success,107,Cpf1
PF3D7_0907200.1,Success,Success,Success,Success,Success,381,Success,Success,Success,Success,Success,117,Cpf1
PF3D7_1110200.1,Success,Success,Success,Success,Success,132,Success,Success,Success,Success,Success,221,Cas9
PF3D7_1119000.1,Success,Success,Success,Success,Success,219,Success,Success,Success,Success,Success,307,Cas9
PF3D7_0405100.1,Success,Success,Success,Success,Success,164,Success,Success,Success,Success,Success,164,Either
PF3D7_1466100.1,Success,Success,Success,Success,Success,287,Success,Success,Success,Success,Success,166,Cpf1
PF3D7_1010700.1,Warning,Warning,Success,Warning,Success,145,Warning,Success,Success,Warning,Success,111,Cpf1
PF3D7_1254800.1,Success,Success,Success,Success,Success,198,Success,Success,Success,Success,Success,349,Cas9
PF3D7_1109900.1,Success,Success,Success,Success,Success,332,Success,Success,Success,Success,Success,289,Cpf1
PF3D7_1232000.1,Success,Success,Success,Success,Success,212,Success,Success,Success,Success,Success,212,Either
PF3D7_0712600.1,Success,Success,Success,Success,Success,355,Success,Success,Success,Success,Success,325,Cpf1
PF3D7_0922400.1,Success,Success,Success,Success,Success,46,Success,Success,Success,Success,Success,46,Either
PF3D7_0910900.1,Success,Success,Success,Success,Success,76,Success,Success,Success,Success,Success,77,Cas9
PF3D7_0214200.1,Success,Success,Success,Success,Success,134,Success,Success,Success,Success,Success,183,Cas9
PF3D7_0821100.1,Success,Success,Success,Success,Success,347,Success,Success,Success,Success,Success,502,Cas9
PF3D7_0620400.1,Warning,Success,Success,Success,Warning,489,Success,Success,Success,Success,Success,416,Cpf1
PF3D7_0826000.1,Warning,Warning,Success,Success,Success,158,Warning,Warning,Success,Success,Warning,158,Cas9
PF3D7_1236200.1,Success,Success,Success,Success,Success,272,Warning,Success,Success,Success,Warning,204,Cas9
PF3D7_1145800.1,Warning,Success,Success,Warning,Success,110,Warning,Success,Success,Warning,Success,132,Cas9
PF3D7_1018500.1,Success,Success,Success,Success,Success,157,Success,Success,Success,Success,Success,184,Cas9
PF3D7_1142300.1,Success,Success,Success,Success,Success,287,Success,Success,Success,Success,Success,260,Cpf1
PF3D7_1469000.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,136,Cpf1
PF3D7_1144900.1,Success,Success,Success,Success,Success,407,Success,Success,Success,Success,Success,410,Cas9
PF3D7_0624500.1,Success,Success,Success,Success,Success,118,Success,Success,Success,Success,Success,180,Cas9
PF3D7_0412700.1,Success,Success,Success,Success,Success,125,Success,Success,Success,Success,Success,125,Either
PF3D7_0500200.1,Warning,Success,Success,Success,Warning,69,Success,Success,Success,Success,Success,69,Cpf1
PF3D7_0803000.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,419,Cpf1
PF3D7_1419100.1,Success,Success,Success,Success,Success,127,Warning,Success,Success,Success,Warning,161,Cas9
PF3D7_1460700.1,Success,Success,Success,Success,Success,183,Success,Success,Success,Success,Success,183,Either
PF3D7_0301600.1,Success,Success,Success,Success,Success,127,Success,Success,Success,Success,Success,329,Cas9
PF3D7_0323100.1,Warning,Success,Success,Success,Warning,0,Success,Success,Success,Success,Success,143,Cpf1
PF3D7_0812300.1,Success,Success,Success,Success,Success,224,Success,Success,Success,Success,Success,145,Cpf1
PF3D7_1355300.1,Success,Success,Success,Success,Success,122,Success,Success,Success,Success,Success,499,Cas9
PF3D7_0303000.1,Success,Success,Success,Success,Success,145,Success,Success,Success,Success,Success,308,Cas9
PF3D7_1015900.1,Warning,Success,Success,Warning,Success,401,Warning,Success,Success,Warning,Success,297,Cpf1
PF3D7_1235900.1,Success,Success,Success,Success,Success,162,Success,Success,Success,Success,Success,162,Either
PF3D7_1478500.1,Success,Success,Success,Success,Success,143,Success,Success,Success,Success,Success,378,Cas9
PF3D7_0716300.1,Error,-,-,-,Error,0,Warning,Warning,Success,Success,Success,55,Cpf1
PF3D7_0926300.1,Success,Success,Success,Success,Success,136,Success,Success,Success,Success,Success,137,Cas9
PF3D7_1472300.1,Warning,Success,Success,Warning,Success,110,Success,Success,Success,Success,Success,110,Cpf1
PF3D7_1218900.1,Success,Success,Success,Success,Success,241,Success,Success,Success,Success,Success,253,Cas9
PF3D7_1031300.1,Success,Success,Success,Success,Success,218,Warning,Success,Success,Success,Warning,194,Cas9
PF3D7_0208800.1,Success,Success,Success,Success,Success,143,Warning,Success,Success,Success,Warning,174,Cas9
PF3D7_0522500.1,Success,Success,Success,Success,Success,105,Success,Success,Success,Success,Success,151,Cas9
PF3D7_1468000.1,Warning,Success,Success,Warning,Success,434,Warning,Success,Success,Warning,Success,441,Cas9
PF3D7_0102100.1,Success,Success,Success,Success,Success,198,Success,Success,Success,Success,Success,224,Cas9
PF3D7_0315800.1,Success,Success,Success,Success,Success,125,Success,Success,Success,Success,Success,189,Cas9
PF3D7_0202500.1,Success,Success,Success,Success,Success,118,Success,Success,Success,Success,Success,253,Cas9
PF3D7_0608310.1,Warning,Success,Success,Warning,Success,125,Success,Success,Success,Success,Success,205,Cpf1
PF3D7_0205300.1,Success,Success,Success,Success,Success,119,Success,Success,Success,Success,Success,81,Cpf1
PF3D7_0313600.1,Success,Success,Success,Success,Success,144,Success,Success,Success,Success,Success,144,Either
PF3D7_1469100.1,Success,Success,Success,Success,Success,364,Success,Success,Success,Success,Success,227,Cpf1
PF3D7_1234400.1,Warning,Success,Success,Success,Warning,254,Success,Success,Success,Success,Success,253,Cpf1
PF3D7_1346100.1,Success,Success,Success,Success,Success,307,Success,Success,Success,Success,Success,185,Cpf1
PF3D7_0731700.1,Success,Success,Success,Success,Success,110,Success,Success,Success,Success,Success,301,Cas9
PF3D7_1360700.1,Error,-,-,-,Error,0,Error,-,-,-,Error,0,None
PF3D7_1019800.1,Warning,Success,Success,Success,Warning,243,Success,Success,Success,Success,Success,226,Cpf1
PF3D7_0823200.1,Success,Success,Success,Success,Success,118,Success,Success,Success,Success,Success,338,Cas9
PF3D7_0502100.1,Error,-,-,-,Error,0,Warning,Success,Success,Success,Warning,491,Cpf1
PF3D7_1434500.1,Success,Success,Success,Success,Success,165,Success,Success,Success,Success,Success,165,Either
PF3D7_0411200.1,Success,Success,Success,Success,Success,147,Success,Success,Success,Success,Success,408,Cas9
PF3D7_1370200.1,Warning,Success,Success,Success,Warning,0,Error,-,-,-,Error,0,Cas9
PF3D7_1476300.1,Success,Success,Success,Success,Success,145,Success,Success,Success,Success,Success,302,Cas9
PF3D7_1348500.1,Success,Success,Success,Success,Success,180,Success,Success,Success,Success,Success,206,Cas9
PF3D7_1214900.1,Warning,Warning,Success,Success,Success,225,Success,Success,Success,Success,Success,86,Cpf1
PF3D7_1217500.1,Success,Success,Success,Success,Success,19,Success,Success,Success,Success,Success,303,Cas9
PF3D7_1227900.1,Success,Success,Success,Success,Success,403,Success,Success,Success,Success,Success,125,Cpf1
PF3D7_1426700.1,Warning,Success,Success,Warning,Success,146,Error,-,-,-,Error,0,Cas9
PF3D7_0710800.1,Warning,Success,Success,Warning,Success,137,Warning,Success,Success,Warning,Warning,246,Cas9
PF3D7_1414900.1,Success,Success,Success,Success,Success,265,Success,Success,Success,Success,Success,311,Cas9
PF3D7_1459600.1,Success,Success,Success,Success,Success,110,Success,Success,Success,Success,Success,358,Cas9
PF3D7_1405300.1,Warning,Success,Success,Success,Warning,465,Success,Success,Success,Success,Success,161,Cpf1
PF3D7_1314600.1,Success,Success,Success,Success,Success,305,Success,Success,Success,Success,Success,125,Cpf1
PF3D7_1133200.1,Success,Success,Success,Success,Success,227,Success,Success,Success,Success,Success,235,Cas9
PF3D7_0424300.1,Success,Success,Success,Success,Success,158,Success,Success,Success,Success,Success,213,Cas9
PF3D7_0912400.1,Success,Success,Success,Success,Success,284,Success,Success,Success,Success,Success,415,Cas9
PF3D7_1358800.1,Warning,Success,Success,Warning,Success,294,Warning,Success,Success,Warning,Success,294,Either
PF3D7_0917300.1,Warning,Warning,Success,Success,Success,125,Success,Success,Success,Success,Success,505,Cpf1
PF3D7_1203700.1,Success,Success,Success,Success,Success,238,Success,Success,Success,Success,Success,374,Cas9
PF3D7_1032100.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,209,Cpf1
PF3D7_1036500.1,Success,Success,Success,Success,Success,273,Success,Success,Success,Success,Success,404,Cas9
PF3D7_1349700.1,Warning,Success,Success,Warning,Success,215,Warning,Success,Success,Warning,Success,351,Cas9
PF3D7_1451400.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,278,Cpf1
PF3D7_1000500.1,Success,Success,Success,Success,Success,20,Success,Success,Success,Success,Success,362,Cas9
PF3D7_0530600.1,Success,Success,Success,Success,Success,182,Success,Success,Success,Success,Success,150,Cpf1
PF3D7_1033000.1,Warning,Success,Success,Warning,Success,364,Warning,Success,Success,Warning,Success,395,Cas9
PF3D7_1433100.1,Success,Success,Success,Success,Success,320,Success,Success,Success,Success,Success,234,Cpf1
PF3D7_0306600.1,Success,Success,Success,Success,Success,232,Warning,Warning,Success,Success,Success,255,Cas9
PF3D7_0722500.1,Warning,Success,Success,Success,Warning,20,Success,Success,Success,Success,Success,287,Cpf1
PF3D7_0700400.1,Success,Success,Success,Success,Success,207,Success,Success,Success,Success,Success,334,Cas9
PF3D7_API05500.,Warning,Success,Success,Success,Warning,17,Error,-,-,-,Error,0,Cas9
PF3D7_0930500.1,Success,Success,Success,Success,Success,139,Success,Success,Success,Success,Success,139,Either
